test_name,left_set,right_set,priority
BLD-AR-Casework-vs-BLD-AR-Ceilings,BLD-AR-Casework,BLD-AR-Ceilings,C
BLD-AR-Casework-vs-BLD-AR-Columns,BLD-AR-Casework,BLD-AR-Columns,C
BLD-AR-Casework-vs-BLD-AR-Curtain Mullions,BLD-AR-Casework,BLD-AR-Curtain Mullions,C
BLD-AR-Casework-vs-BLD-AR-Curtain Panels,BLD-AR-Casework,BLD-AR-Curtain Panels,C
BLD-AR-Casework-vs-BLD-AR-Doors,BLD-AR-Casework,BLD-AR-Doors,C
BLD-AR-Casework-vs-BLD-AR-Floors,BLD-AR-Casework,BLD-AR-Floors,C
BLD-AR-Casework-vs-BLD-AR-Ramps,BLD-AR-Casework,BLD-AR-Ramps,C
BLD-AR-Casework-vs-BLD-AR-Roofs,BLD-AR-Casework,BLD-AR-Roofs,C
BLD-AR-Casework-vs-BLD-AR-Stairs,BLD-AR-Casework,BLD-AR-Stairs,C
BLD-AR-Casework-vs-BLD-AR-Walls,BLD-AR-Casework,BLD-AR-Walls,C
BLD-AR-Casework-vs-BLD-AR-Windows,BLD-AR-Casework,BLD-AR-Windows,C
BLD-AR-Ceilings-vs-BLD-AR-Floors,BLD-AR-Ceilings,BLD-AR-Floors,A
BLD-AR-Ceilings-vs-BLD-AR-Ramps,BLD-AR-Ceilings,BLD-AR-Ramps,A
BLD-AR-Ceilings-vs-BLD-AR-Roofs,BLD-AR-Ceilings,BLD-AR-Roofs,A
BLD-AR-Ceilings-vs-BLD-AR-Stairs,BLD-AR-Ceilings,BLD-AR-Stairs,A
BLD-AR-Columns-vs-BLD-AR-Ceilings,BLD-AR-Columns,BLD-AR-Ceilings,B
BLD-AR-Columns-vs-BLD-AR-Floors,BLD-AR-Columns,BLD-AR-Floors,A
BLD-AR-Columns-vs-BLD-AR-Ramps,BLD-AR-Columns,BLD-AR-Ramps,A
BLD-AR-Columns-vs-BLD-AR-Roofs,BLD-AR-Columns,BLD-AR-Roofs,A
BLD-AR-Columns-vs-BLD-AR-Stairs,BLD-AR-Columns,BLD-AR-Stairs,A
BLD-AR-Curtain Mullions-vs-BLD-AR-Ceilings,BLD-AR-Curtain Mullions,BLD-AR-Ceilings,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Columns,BLD-AR-Curtain Mullions,BLD-AR-Columns,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Curtain Panels,BLD-AR-Curtain Mullions,BLD-AR-Curtain Panels,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Floors,BLD-AR-Curtain Mullions,BLD-AR-Floors,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Ramps,BLD-AR-Curtain Mullions,BLD-AR-Ramps,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Roofs,BLD-AR-Curtain Mullions,BLD-AR-Roofs,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Stairs,BLD-AR-Curtain Mullions,BLD-AR-Stairs,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Walls,BLD-AR-Curtain Mullions,BLD-AR-Walls,B
BLD-AR-Curtain Mullions-vs-BLD-AR-Windows,BLD-AR-Curtain Mullions,BLD-AR-Windows,B
BLD-AR-Curtain Panels-vs-BLD-AR-Ceilings,BLD-AR-Curtain Panels,BLD-AR-Ceilings,B
BLD-AR-Curtain Panels-vs-BLD-AR-Columns,BLD-AR-Curtain Panels,BLD-AR-Columns,B
BLD-AR-Curtain Panels-vs-BLD-AR-Floors,BLD-AR-Curtain Panels,BLD-AR-Floors,B
BLD-AR-Curtain Panels-vs-BLD-AR-Ramps,BLD-AR-Curtain Panels,BLD-AR-Ramps,B
BLD-AR-Curtain Panels-vs-BLD-AR-Roofs,BLD-AR-Curtain Panels,BLD-AR-Roofs,B
BLD-AR-Curtain Panels-vs-BLD-AR-Stairs,BLD-AR-Curtain Panels,BLD-AR-Stairs,B
