time	seconds	group	step	event	name	number	text
09:48:33.992	53.706	1000BS	DECIDE	step started	DECIDE	0	
09:48:33.998	53.712	1000BS	DECIDE	census before	models	0	
09:48:33.999	53.713	1000BS	DECIDE	census before	sets	0	
09:48:34.001	53.715	1000BS	DECIDE	census before	tests	0	
09:48:34.002	53.716	1000BS	DECIDE	census before	results	0	
09:48:34.003	53.717	1000BS	DECIDE	census before	views	0	
09:48:34.714	54.428	1000BS		census after	models	2	
09:48:34.716	54.429	1000BS		census after	sets	61	
09:48:34.718	54.431	1000BS		census after	tests	21	
09:48:34.719	54.433	1000BS		census after	results	0	
09:48:34.720	54.434	1000BS		census after	views	12	
09:48:34.725	54.439	1000BS		step finished	DECIDE	0.717	Weekly run plus XML
09:48:34.741	54.455	1000BS	UNITS	step started	UNITS	0	
09:48:34.744	54.457	1000BS	UNITS	census before	models	2	
09:48:34.744	54.458	1000BS	UNITS	census before	sets	61	
09:48:34.745	54.459	1000BS	UNITS	census before	tests	21	
09:48:34.746	54.460	1000BS	UNITS	census before	results	0	
09:48:34.746	54.460	1000BS	UNITS	census before	views	12	
09:48:34.779	54.493	1000BS		census after	models	2	
09:48:34.780	54.494	1000BS		census after	sets	61	
09:48:34.781	54.494	1000BS		census after	tests	21	
09:48:34.782	54.495	1000BS		census after	results	0	
09:48:34.782	54.496	1000BS		census after	views	12	
09:48:34.784	54.498	1000BS		step finished	UNITS	0.038	the document was asked for Meters
09:48:34.811	54.524	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	684686.56	Community-2-BS1
09:48:34.811	54.525	1000BS		model placement	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	688556.56	Community-2-BS2
09:48:34.856	54.569	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc	53	1 workset(s), element id 100%
09:48:34.857	54.570	1000BS		model export	1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc	53	1 workset(s), element id 100%
09:48:34.862	54.575	1000BS	SETS	step started	SETS	0	
09:48:34.863	54.577	1000BS	SETS	census before	models	2	
09:48:34.864	54.578	1000BS	SETS	census before	sets	61	
09:48:34.865	54.579	1000BS	SETS	census before	tests	21	
09:48:34.866	54.580	1000BS	SETS	census before	results	0	
09:48:34.867	54.581	1000BS	SETS	census before	views	12	
09:48:35.129	54.844	1000BS		census after	models	2	
09:48:35.130	54.844	1000BS		census after	sets	61	
09:48:35.131	54.845	1000BS		census after	tests	21	
09:48:35.133	54.846	1000BS		census after	results	0	
09:48:35.133	54.847	1000BS		census after	views	12	
09:48:35.135	54.849	1000BS		step finished	SETS	0.268	0 created, 61 already there, 0 finding items, 0 at zero.
09:48:35.494	55.208	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Floors		lcop_selection_set_tree/Architecture/BLD-AR-Floors   asks for "Floors", WHICH MODELS IN THIS PROJECT DO CARRY, and still found nothing HERE. Either this group holds no model of that kind, which is ordinary, or something else is wrong, and this reader cannot tell which
09:48:35.495	55.209	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Stairs		lcop_selection_set_tree/Architecture/BLD-AR-Stairs   asks for "Stairs", WHICH MODELS IN THIS PROJECT DO CARRY, and still found nothing HERE. Either this group holds no model of that kind, which is ordinary, or something else is wrong, and this reader cannot tell which
09:48:35.496	55.209	1000BS		set finding nothing	lcop_selection_set_tree/Architecture/BLD-AR-Ramps		lcop_selection_set_tree/Architecture/BLD-AR-Ramps   asks for "Ramps" and NO MODEL IN THIS PROJECT CARRIES IT, and nothing the models carry is close to it
