time	seconds	group	step	event	name	number	text
14:40:21.290	68.158	1A0415	DECIDE	step started	DECIDE	0	
14:40:21.294	68.164	1A0415	DECIDE	census before	models	0	
14:40:21.296	68.165	1A0415	DECIDE	census before	sets	0	
14:40:21.297	68.166	1A0415	DECIDE	census before	tests	0	
14:40:21.298	68.168	1A0415	DECIDE	census before	results	0	
14:40:21.299	68.169	1A0415	DECIDE	census before	views	0	
14:40:22.092	68.961	1A0415		census after	models	3	
14:40:22.094	68.963	1A0415		census after	sets	61	
14:40:22.095	68.965	1A0415		census after	tests	3	
14:40:22.097	68.966	1A0415		census after	results	0	
14:40:22.098	68.968	1A0415		census after	views	18	
14:40:22.104	68.973	1A0415		step finished	DECIDE	0.797	Weekly run plus XML
14:40:22.113	68.982	1A0415	UNITS	step started	UNITS	0	
14:40:22.115	68.984	1A0415	UNITS	census before	models	3	
14:40:22.116	68.985	1A0415	UNITS	census before	sets	61	
14:40:22.117	68.986	1A0415	UNITS	census before	tests	3	
14:40:22.118	68.987	1A0415	UNITS	census before	results	0	
14:40:22.118	68.987	1A0415	UNITS	census before	views	18	
14:40:22.199	69.069	1A0415		census after	models	3	
14:40:22.200	69.069	1A0415		census after	sets	61	
14:40:22.201	69.070	1A0415		census after	tests	3	
14:40:22.202	69.071	1A0415		census after	results	0	
14:40:22.202	69.072	1A0415		census after	views	18	
14:40:22.204	69.074	1A0415		step finished	UNITS	0.086	the document was asked for Meters
14:40:22.231	69.101	1A0415		model placement	1104-PAR-1A0415-ZZZ-LS-MOD-000001.nwc	675666.8	Mukaab
14:40:22.232	69.101	1A0415		model placement	1104-PAR-1A0415-ZZZ-LT-MOD-000001.nwc	675666.8	Default Site
14:40:22.233	69.102	1A0415		model placement	1104-PAR-1A0415-ZZZ-SW-MOD-000001.nwc	675666.8	Default Site
14:40:22.461	69.330	1A0415		model export	1104-PAR-1A0415-ZZZ-LS-MOD-000001.nwc	4668	3 workset(s), element id 100%
14:40:22.462	69.331	1A0415		model export	1104-PAR-1A0415-ZZZ-LT-MOD-000001.nwc	219	1 workset(s), element id 100%
14:40:22.463	69.332	1A0415		model export	1104-PAR-1A0415-ZZZ-SW-MOD-000001.nwc	161	2 workset(s), element id 100%
14:40:22.468	69.337	1A0415	SETS	step started	SETS	0	
14:40:22.470	69.339	1A0415	SETS	census before	models	3	
14:40:22.471	69.340	1A0415	SETS	census before	sets	61	
14:40:22.471	69.341	1A0415	SETS	census before	tests	3	
14:40:22.472	69.341	1A0415	SETS	census before	results	0	
14:40:22.473	69.342	1A0415	SETS	census before	views	18	
14:40:23.385	70.254	1A0415		census after	models	3	
14:40:23.386	70.254	1A0415		census after	sets	61	
