time	seconds	group	step	event	name	number	text
08:59:43.350	50.085	1000BS	DECIDE	step started	DECIDE	0	
08:59:43.356	50.091	1000BS	DECIDE	census before	models	0	
08:59:43.357	50.092	1000BS	DECIDE	census before	sets	0	
08:59:43.358	50.093	1000BS	DECIDE	census before	tests	0	
08:59:43.360	50.095	1000BS	DECIDE	census before	results	0	
08:59:43.361	50.096	1000BS	DECIDE	census before	views	0	
08:59:43.402	50.137	1000BS		census after	models	0	
08:59:43.403	50.139	1000BS		census after	sets	0	
08:59:43.404	50.140	1000BS		census after	tests	0	
08:59:43.405	50.141	1000BS		census after	results	0	
08:59:43.407	50.142	1000BS		census after	views	0	
08:59:43.411	50.146	1000BS		step finished	DECIDE	0.051	First run
08:59:43.439	50.175	1000BS	APPEND	step started	APPEND	0	
08:59:43.441	50.177	1000BS	APPEND	census before	models	0	
08:59:43.442	50.178	1000BS	APPEND	census before	sets	0	
08:59:43.443	50.178	1000BS	APPEND	census before	tests	0	
08:59:43.444	50.179	1000BS	APPEND	census before	results	0	
08:59:43.444	50.180	1000BS	APPEND	census before	views	0	
08:59:43.529	50.265	1000BS	APPEND	appended	APPEND	246853	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003001.nwc
08:59:43.570	50.305	1000BS	APPEND	appended	APPEND	246182	C:\\00-NM\\Federation Task\\C02 + 04\\C02\\NWC\\1104-PAR-1000BS-ZZZ-AR-MOD-003002.nwc
08:59:43.580	50.315	1000BS		census after	models	2	
08:59:43.581	50.316	1000BS		census after	sets	0	
08:59:43.582	50.316	1000BS		census after	tests	0	
08:59:43.582	50.317	1000BS		census after	results	0	
08:59:43.583	50.318	1000BS		census after	views	12	
08:59:43.591	50.326	1000BS		step finished	APPEND	0.14	2 of 2 appended
08:59:43.594	50.329	1000BS	NWF SAVE	step started	NWF SAVE	0	
08:59:43.597	50.333	1000BS	NWF SAVE	census before	models	2	
08:59:43.598	50.333	1000BS	NWF SAVE	census before	sets	0	
08:59:43.599	50.334	1000BS	NWF SAVE	census before	tests	0	
08:59:43.599	50.335	1000BS	NWF SAVE	census before	results	0	
08:59:43.600	50.336	1000BS	NWF SAVE	census before	views	12	
08:59:43.723	50.458	1000BS	NWF SAVE	written	NWF	4066	C:\\Users\\bader\\AppData\\Local\\Temp\\claude\\round-viewpoints\\NWF4\\1104-PAR-1000BS-ZZZ-BM-MOD-000001.nwf
08:59:43.740	50.475	1000BS		census after	models	2	
08:59:43.741	50.476	1000BS		census after	sets	0	
08:59:43.742	50.477	1000BS		census after	tests	0	
08:59:43.742	50.477	1000BS		census after	results	0	
08:59:43.743	50.478	1000BS		census after	views	12	
08:59:43.745	50.480	1000BS		step finished	NWF SAVE	0.132	saved 4066 bytes
08:59:43.749	50.484	1000BS	UNITS	step started	UNITS	0	
08:59:43.751	50.486	1000BS	UNITS	census before	models	2	
08:59:43.751	50.487	1000BS	UNITS	census before	sets	0	
08:59:43.752	50.487	1000BS	UNITS	census before	tests	0	
08:59:43.753	50.488	1000BS	UNITS	census before	results	0	
